company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
BP Biznes,B3963,2014-10-19,2014-10-11,10862.48,Miss Zola Hyatt,"Assumenda nobis sint nihil consectetur praesentium.
Unde molestiae repellat animi assumenda.",rejected,negligible;Other
 Big Company 1,B15428,07-12-2014,29-11-2014,16916.6,Elizabeth Emard,"Ut non dolorem quae ad est in.
Consequatur dolor eveniet eos explicabo est eaque voluptatum.",rejected,client
 SB Komputery,S37753,29-04-2015,21-04-2015,15491.15,Abelardo Wehner,Quas quibusdam quo molestiae doloribus ipsum sed.,other,negligible
Wesoła Gżegżółka,W68785,21-11-2014,18-11-2014,13217.41,Miss Breanne Bahringer,Ut fugit nostrum doloribus hic.,rejected,""
 Ostrzy Entertainment,O61568,26-07-2013,21-07-2013,11252.73,Sylvester Monahan,"Enim ducimus atque rem hic.
Et corporis illum id amet eum.
A quia temporibus.",rejected,internal;other;important
ACME,A28999,20-12-2014,15-12-2014,16411.38,Aubrey Sauer,Expedita non veniam ea repellendus.,accepted,Client;internal;other
Comcast,C9193,2015-05-06,2015-04-29,11872.61,Mr. Herminio Hegmann,Cumque et voluptas.,accepted,important
Microsoft,M64524,2013-03-21,2013-03-17,11016.70,Jean Schuster,Repellat voluptate omnis quaerat.,accepted,""
 Company X,C68494,31-01-2013,27-01-2013,18068.43,Jalen Spencer,Voluptas qui et error corporis quis repellat.,other,delegation;client;important
"Monterail, Inc.",M35458,12/16/2012,12/07/2012,15128.93,Larue Nienow,Et quis in aspernatur aperiam.,other,Delegation;other;Important;internal
BP Biznes,B48280,12/02/2012,11/28/2012,13362.17,Eve Mayer,Voluptatibus reiciendis odio.,rejected,Delegation;Important;other
 Wesoła Gżegżółka,W12974,2013-01-30,2013-01-25,17206.75,Laron Treutel,Assumenda est iusto.,other,Internal;Other;Client;Delegation;negligible
 ACME,A77801,11/06/2014,10/31/2014,11848.71,Anna Torphy,Expedita ut voluptatem itaque sunt ut ipsa.,rejected,important;Delegation
SB Komputery,S5403,16-02-2014,08-02-2014,12328.8,Merritt McClure,Delectus esse fuga ut dolore velit est dolorem.,accepted,internal;negligible
TT Internet,T54191,2014-12-04,2014-12-03,19077.69,Khalil Bernhard,Iste reprehenderit explicabo id voluptatibus aperiam.,rejected,internal;important
Microsoft,M42295,13-12-2012,10-12-2012,15681.78,Sonny Ankunding,"Soluta quos enim vitae animi.
Minima libero sint.
Odit excepturi soluta neque tempore quia.",other,Other;negligible;Delegation
"Monterail, Inc.",M26768,2013-01-08,2013-01-07,16326.50,Kyle Steuber,Ea est id.,other,important;Delegation;other;negligible
Comcast,C82991,08/31/2012,08/29/2012,14540.33,Marc Reichel,Delectus voluptas velit sed dolores voluptates.,other,delegation;client;Other
Company X,C95462,2013-03-19,2013-03-11,14713.6,Oceane Altenwerth,Facere quia omnis nam.,rejected,""
 Ostrzy Entertainment,O52012,12/06/2012,11/30/2012,14192.1,Arthur Hilll,Provident reprehenderit cum atque inventore magni quo perspiciatis.,rejected,important;delegation;Client;negligible;internal
 Wesoła Gżegżółka,W5468,2015-04-02,2015-03-26,10654.44,Chanel Bogan,Qui blanditiis ut assumenda dignissimos beatae est est.,accepted,Important;Delegation;other;Client
 Comcast,C79947,2015-02-05,2015-01-27,17363.25,Everett Greenfelder I,Dolorem tenetur ducimus omnis rerum qui.,rejected,negligible;internal;important
 Big Company 1,B91123,2014-08-09,2014-08-09,18539.88,Garnet Schamberger,Ipsa odit inventore ipsam voluptas cum.,rejected,internal
 KT Koty,K83761,2014-03-22,2014-03-19,11437.9,Lupe Kirlin,Non sed ullam nemo aspernatur autem enim.,accepted,other;Client
Company X,C90380,02/09/2014,02/01/2014,15640.72,Keanu Hettinger II,Fugit voluptatem illo nemo.,accepted,important;client;Delegation
Comcast,C42791,12/31/2014,12/30/2014,16431.10,Holly Ebert I,Nesciunt cupiditate amet et.,other,negligible
Microsoft,M19940,16-04-2015,13-04-2015,18961.67,Annalise Schaden,"Debitis quidem voluptatum assumenda corporis.
Et et porro et excepturi.
In et suscipit cumque error velit omnis.",accepted,negligible
 KT Koty,K22081,04/24/2013,04/23/2013,14112.65,Joy Macejkovic,Rerum nemo quas.,rejected,Important;other;client;internal
 SB Komputery,S65616,10/09/2013,10/02/2013,16196.75,Monserrat Feest,"Adipisci possimus omnis nostrum explicabo totam.
Enim minima aut qui neque dolor reiciendis laudantium.
Magnam hic magni repellat.",accepted,important
" Monterail, Inc.",M22976,21-01-2015,16-01-2015,10696.50,Cristobal Wisozk,Ratione incidunt reprehenderit iste vel aut molestiae.,other,""
Big Company 1,B48994,06/09/2014,06/06/2014,16568.26,Otha Hills,Atque quo odio expedita facilis.,rejected,negligible;important
 Ostrzy Entertainment,O79800,23-03-2013,23-03-2013,16544.64,Bernardo Wyman,Id dolorem et.,rejected,internal;other
ACME,A95106,14-12-2013,12-12-2013,19595.72,Laron Walker V,Debitis ut explicabo ut provident.,accepted,delegation;client;negligible;other
KT Koty,K41448,25-06-2013,16-06-2013,18705.23,Kelvin Miller,Unde asperiores reiciendis ut sed et.,accepted,other;client;delegation
 MS Szpadel,M27754,14-12-2012,13-12-2012,13659.73,Lucious Gislason I,Totam autem illum molestiae doloribus aspernatur.,rejected,other;client
MS Szpadel,M94019,12-05-2014,08-05-2014,,Stewart Miller,Impedit facere quia magnam dignissimos et.,rejected,Delegation;Internal;Important;Negligible;other
 Company X,C48797,2014-12-29,2014-12-25,15363.22,Mr. Gudrun Willms,Qui nemo nihil consequatur.,rejected,Important;internal;negligible;other;delegation
 Wesoła Gżegżółka,W26747,2015-04-20,2015-04-20,14660.87,Rex McGlynn,Consequatur voluptatem repudiandae aperiam dignissimos temporibus.,accepted,Important;Delegation;client;Negligible;other
Ostrzy Entertainment,O69885,22-10-2013,13-10-2013,11494.44,Muriel Streich,"Odio dolor et quasi.
Non corrupti deserunt.
Esse quia nulla nihil eligendi impedit alias.
Sunt aut velit minima suscipit voluptatem ad.",rejected,important;delegation;other;negligible
 Microsoft,M65337,02-10-2013,24-09-2013,14936.44,Ms. Marta Kovacek,Fuga officia delectus vel optio quisquam.,rejected,""
 MS Szpadel,M49597,03/05/2013,03/04/2013,14338.42,Juwan Herzog,Aut dolorum et velit aut id consequatur.,other,internal;Delegation;important;other;client
Comcast,C60539,2014-06-22,2014-06-19,17436.8,Wyatt Kling,"Eius voluptatem error est.
Tempore eveniet provident voluptas corporis sunt vel corrupti.
Corrupti ex quia iure sed temporibus reiciendis.",other,Delegation;negligible;internal;other
Ostrzy Entertainment,O89361,19-09-2012,19-09-2012,12654.81,Kelley Kessler,"Dolorem nulla sint.
Commodi exercitationem dolorem.",accepted,client;Other;negligible
 Comcast,C56750,10/31/2014,10/30/2014,12576.3,Bennie Klein,Nulla explicabo maiores ut.,accepted,""
Comcast,C61869,09/16/2013,09/11/2013,14403.62,Clemens Kirlin,"Praesentium molestiae eos culpa.
Cupiditate voluptatum iusto ea aut dicta voluptatem velit.
Cumque laborum accusantium rem repudiandae.
Enim in impedit voluptatibus.",other,important;other
KT Koty,K35024,2013-09-29,2013-09-27,15340.97,Rosemarie Grimes,Ipsa quia est numquam modi.,other,negligible;other;delegation;internal
TT Internet,T76012,05/20/2014,05/18/2014,14684.14,Arch Rutherford,Fuga aut mollitia.,accepted,important
 Wesoła Gżegżółka,W38216,13-05-2013,11-05-2013,17167.59,Jennifer Durgan,"Provident cum ut odio.
Quas ut quae possimus adipisci alias qui laboriosam.",rejected,""
 Microsoft,M7916,2013-05-09,2013-05-07,16850.70,Vada Muller,"Sed placeat aut.
Sequi aut numquam enim et dolor harum.
Qui et odit reprehenderit.",rejected,other;internal;client;Delegation
 SB Komputery,S40334,02/23/2015,02/19/2015,14358.49,Clinton Batz,Assumenda fuga voluptatem.,accepted,client
ACME,A94870,2013-11-25,2013-11-25,16710.61,Garnet Glover,Laborum qui harum.,rejected,internal
" Monterail, Inc.",M54459,05/27/2014,05/20/2014,18141.56,Dorris McGlynn,"Porro consequatur adipisci sint.
Accusantium voluptas natus eveniet quam consequuntur.
Cumque quis debitis non et quo.
Deleniti ad et dolore dignissimos soluta qui.",accepted,other;delegation
 Big Company 1,B66910,01-10-2014,01-10-2014,19439.72,Laney Russel,Nam itaque aut voluptatem quas rerum libero.,rejected,Delegation;negligible;important
BP Biznes,B90526,19-03-2015,10-03-2015,17837.67,Dr. Eliseo Nienow,"Quibusdam esse voluptatem quos voluptas quas.
Dolor distinctio aut est vel voluptas corrupti.
Occaecati sed placeat accusantium.",other,other;delegation;negligible;important
Ostrzy Entertainment,O48333,2012-12-28,2012-12-24,15759.68,Blaise Tromp,Asperiores mollitia non inventore optio maxime.,other,client;Delegation;negligible;other
TT Internet,T27664,2014-05-18,2014-05-14,11833.82,Dr. Mathilde Batz,Sapiente aut dolorum voluptatibus fugit qui aliquid.,other,""
KT Koty,K12695,06-11-2013,29-10-2013,19933.34,Llewellyn Kling,"Voluptates asperiores ut recusandae.
Recusandae enim eligendi esse.",other,internal;delegation;important;other;client
 MS Szpadel,M5608,07-10-2014,03-10-2014,10578.43,Dixie Abshire,"Autem magni tempora cupiditate cum minima.
Aut minima totam sit repellendus fugit non.",rejected,negligible;other;internal;Delegation
 SB Komputery,S26315,30-12-2012,23-12-2012,12972.79,Mr. Davonte Macejkovic,Deleniti et quas quidem.,accepted,""
KT Koty,K95004,08/19/2014,08/16/2014,11656.19,Stone Shields,Voluptas atque voluptatibus sapiente aut reprehenderit aut.,rejected,negligible;important;delegation;internal;client
 Ostrzy Entertainment,O24051,31-08-2012,29-08-2012,17828.34,Mr. Chadd Jerde,Et distinctio omnis.,rejected,Internal;Client;negligible;Important
 TT Internet,T40132,2015-02-20,2015-02-11,11924.47,Tamia Parisian,"Ipsum dolorem cupiditate sint cum cumque commodi omnis.
Eaque ea et consequatur quaerat.
Voluptatum recusandae minima accusamus.",rejected,delegation;Internal;client
BP Biznes,B97473,2013-05-23,2013-05-16,18952.23,Makenna Lowe,"Architecto placeat quod.
Voluptatem non aliquid.",rejected,other
Company X,C67363,2014-08-13,2014-08-05,13564.94,Freeda Luettgen,Deserunt autem quos aut maiores debitis.,rejected,delegation;important;other;internal;client
MS Szpadel,M60434,06/05/2014,06/02/2014,17537.74,Bonita Schumm,Nesciunt omnis sit qui voluptatem qui perspiciatis ullam.,other,internal;other;Client;delegation
 Comcast,C35991,2012-12-17,2012-12-11,15901.56,Keeley Kling,"Ut quia quibusdam facilis facere et explicabo.
Rerum similique eius reprehenderit itaque ea qui.",rejected,client
Wesoła Gżegżółka,W47786,08/10/2013,08/02/2013,18821.99,Heaven Donnelly Jr.,"Earum ab dolorem provident.
Est nemo ullam.",rejected,Client
 ACME,A95274,2012-12-29,2012-12-29,12362.43,Jaylon Wiza,Amet sint quo eos labore.,rejected,Important;negligible;Internal;Delegation;Client
Company X,C68268,11-09-2012,03-09-2012,12315.51,Audra Bayer,Laudantium perspiciatis nihil facere et.,accepted,other
SB Komputery,S80502,16-12-2014,07-12-2014,14898.97,Chelsea Schulist,Et omnis commodi suscipit aut sit.,accepted,internal;negligible;client;Delegation;other
 Wesoła Gżegżółka,W96748,15-01-2013,07-01-2013,19426.55,Anderson Brekke,Totam cumque culpa voluptatibus consequuntur nobis.,rejected,Client;other;important
 Wesoła Gżegżółka,W69123,01/05/2014,12/30/2013,13659.59,Tracey D'Amore,"Tenetur delectus ut voluptas qui quibusdam beatae.
Ea error ut similique incidunt.",other,""
 BP Biznes,B14722,08/17/2013,08/17/2013,13821.42,Winifred Medhurst I,Eum eius explicabo nostrum.,rejected,client
TT Internet,T51475,2013-10-11,2013-10-10,17492.61,Abbey Dooley,Fuga quia eveniet non repellendus quisquam cumque dicta.,other,important
Ostrzy Entertainment,O70806,02/11/2014,02/03/2014,14328.85,Mrs. Thora Luettgen,Quae rem ut rerum id mollitia nostrum amet.,other,Client;delegation;internal
KT Koty,K5541,2013-07-04,2013-07-04,11981.47,Desiree Kassulke,Aut sit magni numquam.,rejected,""
SB Komputery,S79539,07/15/2014,07/07/2014,15028.5,Mohamed Schaden,"Distinctio at et quia.
Qui minima ratione aspernatur iure.
Eius autem libero aut sed repellendus.
Vitae pariatur est commodi est et ipsam eum.",rejected,delegation;other;client;Important;negligible
Company X,C58798,2014-02-17,2014-02-12,15490.58,Katelyn Torp,Itaque ipsa nesciunt fuga rerum quasi placeat quia.,accepted,internal;important;delegation;negligible;Client
Comcast,C59847,06-05-2015,30-04-2015,15383.49,Savannah Hagenes DDS,"Ratione sit asperiores est ea odit enim at.
Illo ut deserunt doloribus accusamus qui velit necessitatibus.",accepted,client
 SB Komputery,S21141,04-05-2014,30-04-2014,15120.51,Nathen Considine PhD,Voluptatem quos sunt et dolorem ut expedita.,accepted,Other;important
BP Biznes,B16689,2014-12-09,2014-12-02,11449.5,Corine Boyle,Voluptatum modi quos.,rejected,negligible;important;Other;delegation
TT Internet,T61040,2013-06-15,2013-06-07,17090.40,Mr. Genoveva Leffler,Assumenda ut est recusandae possimus.,accepted,important;Negligible;Internal
 SB Komputery,S584,23-09-2012,23-09-2012,14137.91,Bennett Erdman,"Qui a quidem voluptas nulla quia.
Est ex necessitatibus ea ut atque et libero.
Officiis illum aut fugit.
Deleniti earum sequi perspiciatis.",other,Other;delegation
 BP Biznes,B89107,27-05-2014,25-05-2014,14290.43,Adriel Homenick,Enim et earum illo.,accepted,Delegation;Important
 Comcast,C28943,09-01-2014,01-01-2014,11218.12,Alan Little,"Incidunt odio possimus sint at animi beatae consequuntur.
Earum delectus saepe.
Repellat modi quos.",accepted,Other;important;negligible;client;internal
 KT Koty,K15641,2015-01-24,2015-01-20,18366.31,Mrs. Devante Maggio,"Et amet et aut sapiente magni.
Et nesciunt quaerat reiciendis.",rejected,Important;internal
Ostrzy Entertainment,O68913,11/21/2013,11/20/2013,19499.60,Mauricio Shields V,Dolorum ipsa tempore non expedita assumenda neque sed.,accepted,Client;Delegation
 Company X,C48504,05/13/2014,05/07/2014,13155.28,Sterling Grant,Earum eos iure dolorum facere inventore tenetur magni.,accepted,internal;Other;Client;Negligible;delegation
Big Company 1,B10190,12/29/2012,12/23/2012,15507.69,Annabel Rempel,Consectetur debitis repellendus quos reiciendis perspiciatis qui sit.,accepted,Other;important;Negligible;internal;delegation
 BP Biznes,B86233,01/28/2015,01/25/2015,12532.14,Makenna Murphy,Nemo vitae et non.,accepted,other;Delegation
 Microsoft,M29956,09/21/2013,09/12/2013,19477.56,Gretchen Homenick,"Ullam sapiente quae aperiam.
Ipsum maiores esse sed.
Impedit saepe rerum dicta tenetur voluptate voluptatem.
Beatae sit quisquam repudiandae.",accepted,delegation;important;Client;Other;Negligible
MS Szpadel,M70521,09/17/2013,09/14/2013,11452.52,Elyssa Goyette,Illum molestias aperiam nihil sed omnis repellat qui.,other,internal;client;important;negligible
 Comcast,C7019,2013-02-09,2013-02-09,17547.78,Mrs. Tracy Monahan,Ut repudiandae est explicabo quas consequuntur.,other,negligible;other;delegation;important;client
 Ostrzy Entertainment,O15489,07/27/2013,07/24/2013,15247.24,Faye Gulgowski,Rerum voluptates possimus facilis.,rejected,negligible;internal;other;client;delegation
 Comcast,C90042,2014-12-17,2014-12-11,15013.63,Mara Brown PhD,Est voluptatum rem.,other,client;Important;delegation
SB Komputery,S48156,13-03-2014,12-03-2014,11457.61,Mrs. Katelin Gottlieb,Illo inventore ratione sint ex ea.,other,Delegation
KT Koty,K28236,11/17/2013,11/09/2013,12760.46,Elsa Emard PhD,Nesciunt ut esse autem reprehenderit.,accepted,Delegation;Other;Important;Negligible;internal
 KT Koty,K1828,2014-01-17,2014-01-14,16334.89,Kamryn Welch,Maiores accusamus aut commodi.,accepted,Delegation;other;important;Internal;Negligible
Big Company 1,B8821,2014-06-04,2014-05-26,12611.67,Mr. Lennie Bogisich,Labore et aspernatur amet rerum aperiam nostrum.,accepted,delegation;internal
 KT Koty,K61451,05/01/2015,04/25/2015,17669.31,Joannie Gaylord,Veritatis distinctio porro rerum aperiam sed.,other,delegation;client;important;negligible
