company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
BP Biznes,B3963,2014-10-19,2014-10-11,10862.48,Miss Zola Hyatt,"Assumenda nobis sint nihil consectetur praesentium.
Unde molestiae repellat animi assumenda.",rejected,negligible;Other
 Big Company 1,B15428,07-12-2014,29-11-2014,16916.6,Elizabeth Emard,"Ut non dolorem quae ad est in.
Consequatur dolor eveniet eos explicabo est eaque voluptatum.",rejected,client
 SB Komputery,S37753,29-04-2015,21-04-2015,15491.15,Abelardo Wehner,Quas quibusdam quo molestiae doloribus ipsum sed.,other,negligible
Wesoła Gżegżółka,W68785,21-11-2014,18-11-2014,13217.41,Miss Breanne Bahringer,Ut fugit nostrum doloribus hic.,rejected,""
 Ostrzy Entertainment,O61568,26-07-2013,21-07-2013,11252.73,Sylvester Monahan,"Enim ducimus atque rem hic.
Et corporis illum id amet eum.
A quia temporibus.",rejected,internal;other;important
ACME,A28999,20-12-2014,15-12-2014,16411.38,Aubrey Sauer,Expedita non veniam ea repellendus.,accepted,Client;internal;other
Comcast,C9193,2015-05-06,2015-04-29,11872.61,Mr. Herminio Hegmann,Cumque et voluptas.,accepted,important
Microsoft,M64524,2013-03-21,2013-03-17,11016.70,Jean Schuster,Repellat voluptate omnis quaerat.,accepted,""
 Company X,C68494,31-01-2013,27-01-2013,18068.43,Jalen Spencer,Voluptas qui et error corporis quis repellat.,other,delegation;client;important
"Monterail, Inc.",M35458,12/16/2012,12/07/2012,15128.93,Larue Nienow,Et quis in aspernatur aperiam.,other,Delegation;other;Important;internal
